#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  10000      3.04e-01    3.06e-01      1.84e-03    1.86e-03      3.01e-02    3.03e-02    1.0e-04
  10100      2.95e-01    3.20e-01      3.02e-03    3.04e-03      2.91e-02    3.17e-02    9.8e-05
  10200      2.96e-01    2.90e-01      9.16e-04    9.11e-04      3.01e-02    2.95e-02    9.5e-05
  10300      2.91e-01    3.14e-01      3.31e-03    3.34e-03      2.93e-02    3.17e-02    9.3e-05
  10400      3.01e-01    2.94e-01      1.85e-03    1.85e-03      3.12e-02    3.04e-02    9.1e-05
  10500      2.94e-01    3.10e-01      5.82e-04    5.84e-04      3.09e-02    3.27e-02    8.9e-05
  10600      2.82e-01    2.78e-01      2.30e-03    2.34e-03      2.97e-02    2.93e-02    8.7e-05
  10700      2.70e-01    2.92e-01      8.07e-04    7.99e-04      2.90e-02    3.14e-02    8.5e-05
  10800      2.73e-01    2.75e-01      8.16e-04    8.25e-04      2.97e-02    3.00e-02    8.3e-05
  10900      2.83e-01    2.81e-01      9.83e-04    1.04e-03      3.12e-02    3.10e-02    8.1e-05
  11000      2.77e-01    2.67e-01      1.64e-03    1.67e-03      3.07e-02    2.96e-02    7.9e-05
  11100      2.80e-01    2.56e-01      8.01e-04    7.93e-04      3.16e-02    2.88e-02    7.8e-05
  11200      2.79e-01    2.65e-01      5.29e-04    5.36e-04      3.19e-02    3.02e-02    7.6e-05
  11300      2.54e-01    2.52e-01      1.44e-03    1.47e-03      2.91e-02    2.89e-02    7.4e-05
  11400      2.64e-01    2.70e-01      5.22e-04    5.48e-04      3.08e-02    3.15e-02    7.2e-05
  11500      2.64e-01    2.53e-01      6.72e-04    6.51e-04      3.11e-02    2.99e-02    7.1e-05
  11600      2.57e-01    2.74e-01      1.34e-03    1.35e-03      3.06e-02    3.26e-02    6.9e-05
  11700      2.44e-01    2.53e-01      1.83e-03    1.84e-03      2.92e-02    3.03e-02    6.8e-05
  11800      2.45e-01    2.43e-01      5.79e-04    6.03e-04      2.99e-02    2.96e-02    6.6e-05
  11900      2.40e-01    2.58e-01      1.06e-03    1.14e-03      2.95e-02    3.17e-02    6.5e-05
  12000      2.29e-01    2.46e-01      5.48e-04    6.47e-04      2.86e-02    3.07e-02    6.3e-05
  12100      2.26e-01    2.38e-01      6.74e-04    6.83e-04      2.85e-02    3.00e-02    6.2e-05
  12200      2.40e-01    2.30e-01      1.42e-03    1.41e-03      3.05e-02    2.93e-02    6.0e-05
  12300      2.46e-01    2.48e-01      8.52e-04    8.80e-04      3.17e-02    3.19e-02    5.9e-05
  12400      2.32e-01    2.35e-01      5.45e-04    5.63e-04      3.03e-02    3.07e-02    5.8e-05
  12500      2.41e-01    2.43e-01      7.50e-04    7.83e-04      3.18e-02    3.21e-02    5.6e-05
  12600      2.29e-01    2.20e-01      6.79e-04    6.88e-04      3.06e-02    2.94e-02    5.5e-05
  12700      2.21e-01    2.35e-01      1.97e-03    1.96e-03      2.95e-02    3.14e-02    5.4e-05
  12800      2.32e-01    2.12e-01      1.06e-03    1.04e-03      3.16e-02    2.89e-02    5.2e-05
  12900      2.32e-01    2.16e-01      8.39e-04    8.72e-04      3.21e-02    2.98e-02    5.1e-05
  13000      2.03e-01    2.10e-01      6.78e-04    7.73e-04      2.83e-02    2.93e-02    5.0e-05
  13100      1.95e-01    2.06e-01      8.08e-04    7.81e-04      2.75e-02    2.90e-02    4.9e-05
  13200      2.14e-01    2.25e-01      1.14e-03    1.19e-03      3.04e-02    3.20e-02    4.8e-05
  13300      2.20e-01    2.15e-01      6.93e-04    7.08e-04      3.18e-02    3.11e-02    4.7e-05
  13400      2.00e-01    2.09e-01      6.64e-04    6.86e-04      2.93e-02    3.06e-02    4.6e-05
  13500      2.02e-01    2.00e-01      7.37e-04    7.64e-04      2.99e-02    2.96e-02    4.5e-05
  13600      2.02e-01    2.08e-01      5.36e-04    5.47e-04      3.02e-02    3.12e-02    4.4e-05
  13700      1.95e-01    1.93e-01      6.37e-04    6.60e-04      2.95e-02    2.92e-02    4.3e-05
  13800      2.00e-01    1.93e-01      4.55e-04    5.17e-04      3.06e-02    2.96e-02    4.2e-05
  13900      1.90e-01    2.01e-01      1.20e-03    1.22e-03      2.93e-02    3.09e-02    4.1e-05
  14000      1.89e-01    1.94e-01      8.93e-04    9.47e-04      2.95e-02    3.03e-02    4.0e-05
  14100      1.89e-01    1.85e-01      1.07e-03    1.09e-03      2.98e-02    2.90e-02    3.9e-05
  14200      1.82e-01    1.77e-01      1.11e-03    1.10e-03      2.89e-02    2.81e-02    3.8e-05
  14300      1.92e-01    1.97e-01      8.61e-04    8.52e-04      3.10e-02    3.18e-02    3.7e-05
  14400      1.84e-01    1.72e-01      7.36e-04    7.35e-04      3.01e-02    2.81e-02    3.6e-05
  14500      1.81e-01    1.85e-01      6.69e-04    7.01e-04      2.98e-02    3.05e-02    3.5e-05
  14600      1.83e-01    1.80e-01      7.73e-04    7.22e-04      3.06e-02    3.01e-02    3.5e-05
  14700      1.69e-01    1.77e-01      5.18e-04    5.19e-04      2.86e-02    3.00e-02    3.4e-05
  14800      1.74e-01    1.67e-01      8.36e-04    8.91e-04      2.97e-02    2.85e-02    3.3e-05
  14900      1.84e-01    1.73e-01      5.31e-04    4.83e-04      3.17e-02    2.99e-02    3.2e-05
  15000      1.84e-01    1.75e-01      5.23e-04    5.25e-04      3.22e-02    3.05e-02    3.2e-05
  15100      1.64e-01    1.68e-01      6.24e-04    6.74e-04      2.89e-02    2.97e-02    3.1e-05
  15200      1.70e-01    1.61e-01      5.07e-04    5.06e-04      3.03e-02    2.88e-02    3.0e-05
  15300      1.57e-01    1.78e-01      8.74e-04    9.49e-04      2.82e-02    3.21e-02    3.0e-05
  15400      1.64e-01    1.68e-01      8.23e-04    8.12e-04      3.00e-02    3.07e-02    2.9e-05
  15500      1.63e-01    1.54e-01      5.07e-04    5.45e-04      3.00e-02    2.84e-02    2.8e-05
  15600      1.60e-01    1.57e-01      5.69e-04    5.73e-04      2.99e-02    2.94e-02    2.8e-05
  15700      1.67e-01    1.68e-01      5.88e-04    5.93e-04      3.15e-02    3.18e-02    2.7e-05
  15800      1.54e-01    1.52e-01      5.19e-04    5.61e-04      2.94e-02    2.90e-02    2.6e-05
  15900      1.46e-01    1.51e-01      4.32e-04    4.64e-04      2.82e-02    2.92e-02    2.6e-05
  16000      1.51e-01    1.60e-01      1.23e-03    1.21e-03      2.92e-02    3.11e-02    2.5e-05
  16100      1.49e-01    1.62e-01      4.73e-04    5.85e-04      2.94e-02    3.20e-02    2.5e-05
  16200      1.53e-01    1.47e-01      4.63e-04    5.12e-04      3.07e-02    2.93e-02    2.4e-05
  16300      1.52e-01    1.49e-01      5.11e-04    4.83e-04      3.07e-02    3.02e-02    2.3e-05
  16400      1.39e-01    1.61e-01      4.38e-04    4.97e-04      2.85e-02    3.28e-02    2.3e-05
  16500      1.42e-01    1.49e-01      4.95e-04    4.82e-04      2.93e-02    3.07e-02    2.2e-05
  16600      1.44e-01    1.36e-01      4.63e-04    4.75e-04      3.01e-02    2.84e-02    2.2e-05
  16700      1.44e-01    1.37e-01      5.15e-04    4.80e-04      3.04e-02    2.88e-02    2.1e-05
  16800      1.42e-01    1.43e-01      4.33e-04    4.83e-04      3.04e-02    3.05e-02    2.1e-05
  16900      1.30e-01    1.41e-01      5.32e-04    5.78e-04      2.80e-02    3.04e-02    2.0e-05
  17000      1.35e-01    1.40e-01      5.00e-04    4.53e-04      2.95e-02    3.06e-02    2.0e-05
  17100      1.38e-01    1.42e-01      6.71e-04    7.09e-04      3.04e-02    3.11e-02    1.9e-05
  17200      1.40e-01    1.40e-01      4.52e-04    5.11e-04      3.13e-02    3.12e-02    1.9e-05
  17300      1.30e-01    1.41e-01      4.96e-04    5.57e-04      2.92e-02    3.18e-02    1.9e-05
  17400      1.31e-01    1.40e-01      7.96e-04    8.00e-04      2.98e-02    3.18e-02    1.8e-05
  17500      1.28e-01    1.26e-01      4.73e-04    4.70e-04      2.95e-02    2.91e-02    1.8e-05
  17600      1.24e-01    1.27e-01      5.66e-04    5.68e-04      2.88e-02    2.96e-02    1.7e-05
  17700      1.28e-01    1.32e-01      4.94e-04    4.62e-04      3.02e-02    3.11e-02    1.7e-05
  17800      1.29e-01    1.23e-01      4.64e-04    4.94e-04      3.08e-02    2.92e-02    1.7e-05
  17900      1.21e-01    1.27e-01      4.77e-04    5.22e-04      2.90e-02    3.05e-02    1.6e-05
  18000      1.23e-01    1.22e-01      5.17e-04    5.30e-04      2.99e-02    2.96e-02    1.6e-05
  18100      1.19e-01    1.16e-01      4.75e-04    5.25e-04      2.93e-02    2.84e-02    1.5e-05
  18200      1.18e-01    1.25e-01      5.98e-04    6.33e-04      2.93e-02    3.09e-02    1.5e-05
  18300      1.25e-01    1.18e-01      4.84e-04    4.21e-04      3.14e-02    2.96e-02    1.5e-05
  18400      1.18e-01    1.15e-01      4.80e-04    5.14e-04      2.99e-02    2.91e-02    1.4e-05
  18500      1.19e-01    1.11e-01      4.78e-04    4.75e-04      3.06e-02    2.84e-02    1.4e-05
  18600      1.13e-01    1.09e-01      6.56e-04    6.24e-04      2.93e-02    2.81e-02    1.4e-05
  18700      1.10e-01    1.12e-01      4.59e-04    4.69e-04      2.89e-02    2.92e-02    1.3e-05
  18800      1.09e-01    1.21e-01      5.00e-04    5.66e-04      2.90e-02    3.20e-02    1.3e-05
  18900      1.14e-01    1.14e-01      4.67e-04    5.39e-04      3.04e-02    3.05e-02    1.3e-05
  19000      1.10e-01    1.17e-01      4.21e-04    4.92e-04      2.97e-02    3.16e-02    1.3e-05
  19100      1.01e-01    1.20e-01      4.73e-04    5.80e-04      2.76e-02    3.26e-02    1.2e-05
  19200      1.17e-01    1.16e-01      5.91e-04    6.06e-04      3.22e-02    3.20e-02    1.2e-05
  19300      1.12e-01    1.05e-01      4.96e-04    4.69e-04      3.14e-02    2.94e-02    1.2e-05
  19400      1.02e-01    1.03e-01      4.64e-04    4.44e-04      2.86e-02    2.91e-02    1.1e-05
  19500      9.44e-02    1.07e-01      4.51e-04    4.76e-04      2.69e-02    3.06e-02    1.1e-05
  19600      1.02e-01    1.00e-01      4.21e-04    5.03e-04      2.94e-02    2.89e-02    1.1e-05
  19700      1.08e-01    1.06e-01      5.04e-04    4.22e-04      3.16e-02    3.10e-02    1.1e-05
  19800      9.53e-02    1.04e-01      5.02e-04    5.92e-04      2.80e-02    3.05e-02    1.0e-05
  19900      1.01e-01    1.08e-01      4.46e-04    4.46e-04      3.01e-02    3.21e-02    1.0e-05
  20000      1.05e-01    9.78e-02      7.25e-04    7.26e-04      3.12e-02    2.92e-02    1.0e-05
